TransactionDate,GroupCostPrice,GroupQuantity
12/08/19,109705.9,53.78
12/09/19,139853.1,68.72
12/10/19,98348.07,48.61
12/11/19,122697.6,60.58
12/12/19,128684.5,63.32
12/13/19,0,0
12/14/19,150656.6,74
12/15/19,125933,62.2
12/16/19,81224.43,39.92
12/17/19,134027.4,65.97
12/18/19,80828.48,39.72
12/19/19,114500.2,56.11
12/20/19,0,0
12/21/19,112178.5,55.23
12/22/19,154737.1,76.11
12/23/19,112073.2,55.12
12/24/19,112043.9,54.51
12/25/19,111790.9,54.11
12/26/19,130340.4,61.8
12/27/19,0,0
12/28/19,145123.6,68.65
12/29/19,74657.96,35.37
12/30/19,141086.9,66.43
12/31/19,134373.1,63.42
01/01/20,182071.2,85.71
01/02/20,66335.84,31.42
01/03/20,0,0
01/04/20,130337.4,61.3
01/05/20,82719.29,39.13
01/06/20,107191.4,49.65
01/07/20,90609.15,41.86
01/08/20,111357.1,51.55
01/09/20,95021.5,43.56
01/10/20,0,0
01/11/20,110594.2,50.61
01/12/20,93925.79,42.87
01/13/20,107623.8,49.23
01/14/20,176293.7,80.93
01/15/20,113019.8,51.83
01/16/20,146238.1,66.98
01/17/20,0,0
01/18/20,91106.56,41.32
01/19/20,75995.09,34.5
01/20/20,105170.7,47.84
01/21/20,71556.26,32.64
01/22/20,98576.99,44.63
01/23/20,81551.31,36.9
01/24/20,0,0
01/25/20,125008.7,56.33
01/26/20,72706.64,32.71
01/27/20,121339.5,54.67
01/28/20,107772,48.5
01/29/20,104310.3,47.01
01/30/20,129937.5,58.55
01/31/20,0,0
02/01/20,79745.26,35.87
02/02/20,65238.96,29.31
02/03/20,127934.4,57.48
02/04/20,81337.81,36.53
02/05/20,64534.6,28.93
02/06/20,76014.42,33.92
02/07/20,0,0
02/08/20,110630.5,49.67
02/09/20,82759.61,37.11
02/10/20,94705.1,42.38
02/11/20,73163.78,32.54
02/12/20,76151.4,34.1
02/13/20,104510.8,46.63
02/14/20,0,0
02/15/20,67325.28,30.25
02/16/20,91232.6,40.79
02/17/20,63940.49,28.75
02/18/20,83097.3,37.3
02/19/20,74433.62,33.41
02/20/20,73133.24,32.74
02/21/20,0,0
02/22/20,126194.9,56.53
02/23/20,88024.61,39.46
02/24/20,230107.7,103.3
02/25/20,82927.91,37.19
02/26/20,163213.1,73.1
02/27/20,116285.7,52.09
02/28/20,0,0
02/29/20,155263.4,69.39
03/01/20,119894.5,53.76
03/02/20,158071.4,70.83
03/03/20,114925,51.42
03/04/20,95854.66,43.02
03/05/20,78672.24,35.2
03/06/20,0,0
03/07/20,122466.3,54.75
03/08/20,117730.5,52.55
03/09/20,64273.12,28.74
03/10/20,76729.11,34.29
03/11/20,102595.2,45.84
03/12/20,92247.19,41.24
03/13/20,0,0
03/14/20,80718.06,36.18
03/15/20,125837.8,56.56
03/16/20,128559.6,57.81
03/17/20,78715.82,35.48
03/18/20,95000.81,42.69
03/19/20,92811.39,41.77
03/20/20,0,0
03/21/20,139995.6,63.23
03/22/20,75714.6,34.2
03/23/20,131421.1,59.41
03/24/20,55038.27,24.84
03/25/20,101045.6,45.73
03/26/20,60285.43,27.25
03/27/20,0,0
03/28/20,80802.59,36.55
03/29/20,84958.79,38.48
03/30/20,59437.6,26.88
03/31/20,83803.44,37.91
04/01/20,93964.46,42.55
04/02/20,91794.58,41.56
04/03/20,0,0
04/04/20,100160.6,45.35
04/05/20,66738.78,30.21
04/06/20,103044.7,46.72
04/07/20,35277.96,16
04/08/20,12389.14,5.63
04/09/20,4661.565,2.118
04/10/20,0,0
04/11/20,16700.99,7.583
04/12/20,18340.35,8.284
04/13/20,25850.88,11.73
04/14/20,9901.93,4.5
04/15/20,11032.68,5
04/16/20,13197.86,5.992
04/17/20,0,0
04/18/20,23476.63,10.64
04/19/20,8769.06,3.986
04/20/20,13262.94,6
04/21/20,8995.763,4.071
04/22/20,4451.905,2.023
04/23/20,3798.342,1.75
04/24/20,0,0
04/25/20,3300.121,1.5
04/26/20,8900.055,4.092
04/27/20,7700.283,3.5
04/28/20,2174.181,1
04/29/20,16701.44,7.6
04/30/20,9777.052,4.434
05/01/20,0,0
05/02/20,24294.24,11.12
05/03/20,26169.62,11.87
05/04/20,21462.18,9.748
05/05/20,48997.58,22.26
05/06/20,32390.67,14.76
05/07/20,23585.77,10.78
05/08/20,0,0
05/09/20,27686.39,12.6
05/10/20,20833.25,9.547
